id,NAME,ADMIN_CODE,GDP(2017-billion(CHÂ¥)),Population(2010-million),HDI%(2016),DLI%(2012),Life-Expectancy(2013-2016)
1,Guangdong,CHN_44,8987.92,104.303,77.2,72.85,76.49
2,Jiangsu,CHN_32,8590.09,78.66,79.8,77.02,76.63
3,Shandong,CHN_37,7267.82,95.793,76.9,65.67,76.46
4,Zhejiang,CHN_33,5176.83,54.427,79.8,75.43,77.73
5,Henan,CHN_41,4498.82,94.024,72.7,59.04,74.57
6,Taiwan,CHN_71,3907.2,23.052,88.2,NoData,79.78
7,Sichuan,CHN_51,3698.02,80.418,72,61.54,74.75
8,Hubei,CHN_42,3652.3,57.238,75.4,62.41,74.87
9,Hebei,CHN_13,3596.4,71.854,73.5,60.27,74.97
10,Hunan,CHN_43,3459.06,65.684,73.5,60.88,74.7
11,Fujian,CHN_35,3229.83,36.894,75.8,68.54,75.76
12,Shanghai,CHN_31,3013.39,23.019,85.2,85.53,82.75
13,Beijing,CHN_11,2800.04,19.612,86.9,90.18,81.95
14,Anhui,CHN_34,2751.87,64.501,72,60.09,75.08
15,Liaoning,CHN_21,2394.2,43.746,79.8,65.84,76.38
16,Shaanxi,CHN_61,2189.88,37.327,75.1,61.63,74.92
17,Jiangxi,CHN_36,2081.85,44.567,72.6,60.46,74.92
18,Guangxi,CHN_45,2039.63,46.027,71.3,57.55,75.11
19,Chongqing,CHN_50,1950.03,28.846,74.7,65.87,75.7
20,Tianjin,CHN_12,1859.54,12.939,84.3,78.65,78.89
21,Yunnan,CHN_53,1653.13,45.966,66.8,56.2,69.54
22,Heilongjiang,CHN_23,1619.99,38.312,75.5,58.96,75.98
23,Neimongol,CHN_15,1610.32,24.706,76.6,59.14,74.44
24,Jilin,CHN_22,1528.89,27.462,76.8,60.28,76.18
25,Shanxi,CHN_14,1497.35,35.712,73.8,59.77,74.68
26,Guizhou,CHN_52,1354.08,34.746,67.3,54.07,71.1
27,Xinjiang,CHN_65,1092.01,21.813,71.8,52.1,72.35
28,Gansu,CHN_62,767.7,25.575,68.9,52.4,72.23
29,Hainan,CHN_46,446.25,8.672,73.8,61.44,76.3
30,Ningxia,CHN_64,345.39,6.301,72.7,53.88,73.38
31,Qinghai,CHN_63,264.28,5.627,69.4,51.93,69.96
32,Xizang,CHN_54,131.06,3.002,60,50.65,64.37
33,Xianggang,CHN_81,2257.2,7.072,91.7,NoData,83
34,Aomen,CHN_82,51.2,0.552,90.5,NoData,84.6
